id,organisation,org_type,course_count,career_count,org_id,top_career,top_career_courses
11166,UOW College,Higher Education Institutions,14,3,11166.0,Office Administrator,1.0
11167,Prace,Registered Training Organisation,3,0,,,
11183,Christ College,Higher Education Institutions,15,0,,,
11199,Byron Community College,Registered Training Organisation,0,0,,,
11202,Sureway Skills Training Pty Ltd,Registered Training Organisation,0,0,,,
11205,South Coast Careers College,Registered Training Organisation,0,0,,,
11211,Northern Beaches Community College Inc,Registered Training Organisation,0,0,,,
11213,Marrickville Community Training Centre Inc,Registered Training Organisation,0,0,,,
11219,Wontulp-Bi-Buya College,Registered Training Organisation,0,0,,,
11223,The Kath Dickson Institute,Registered Training Organisation,0,0,,,
11240,Holmes Commercial Colleges (Melbourne) Ltd,Registered Training Organisation,2,1,11240.0,Beauty Therapist,1.0
11244,Melbourne Rudolf Steiner Seminar Ltd,Registered Training Organisation,0,0,,,
11245,Allegiance Training Group,Registered Training Organisation,0,0,,,
11247,"Training & Business Company, The",Registered Training Organisation,0,0,,,
11251,Navitas English,ELICOS/Foundation,10,0,,,
11262,Educational Living Pty Ltd,Registered Training Organisation,0,0,,,
11263,Park Orchards Community House & Learning Centre Inc,Registered Training Organisation,0,0,,,
11266,Tabor,Higher Education Institutions,30,14,11266.0,Counsellor,1.0
11270,Australian Red Cross Society,Registered Training Organisation,0,0,,,
11271,Western Riverina Community College Inc,Registered Training Organisation,0,0,,,
11273,LCI Melbourne,Higher Education Institutions,4,8,11273.0,Interior Designer,1.0
11286,Dance Factory,Registered Training Organisation,1,3,11286.0,Actor,1.0
11293,ABC Training and Consulting,Registered Training Organisation,0,0,,,
11295,Australian Shiatsu College,Registered Training Organisation,2,0,,,
11297,Biba Academy of Hairdressing,Registered Training Organisation,0,0,,,
11300,National Art School,Higher Education Institutions,3,1,11300.0,Artist,1.0
11302,Catholic Institute of Sydney,Higher Education Institutions,0,0,,,
11305,Emmaus Bible College,Higher Education Institutions,0,0,,,
11309,St Andrews Greek Orthodox Theological College,Higher Education Institutions,5,0,,,
11311,Excelsia University College,Higher Education Institutions,39,14,11311.0,Counsellor,1.0
11312,Australian College of Ministries,Higher Education Institutions,0,0,,,
11313,Alphacrucis College,Higher Education Institutions,56,16,11313.0,Teacher - Primary,1.0
11329,ERGT Australia,Registered Training Organisation,0,0,,,
