id,name,school_type,state,web_address,has_destinations,has_naplan
69861,Alice Springs School Of The Air,Combined School - Government,N/A,www.assoa.nt.edu.au,Yes,Yes
73560,Allendale East Area School,Combined School - Government,N/A,www.alleastas.sa.edu.au/,Yes,Yes
72059,Allora P-10 State School,Combined School - Government,N/A,www.allorass.eq.edu.au,Yes,Yes
69228,Alpha State School,Combined School - Government,N/A,www.alphass.eq.edu.au,Yes,Yes
76708,Alpurrurulam School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/alpurrurulam-school,No,Yes
76809,Altona College,Combined School - Government,N/A,www.altonacollege.vic.edu.au/,Yes,Yes
69790,Alyangula Area School,Combined School - Government,N/A,https://www.alyangula.nt.edu.au/,Yes,Yes
71653,Alyarrmandumanja Umbakumba School,Combined School - Government,N/A,https://www.alyarrmandumanja.nt.edu.au/,Yes,Yes
69651,Amaroo School,Combined School - Government,N/A,www.amaroos.act.edu.au,Yes,Yes
70671,Amata Anangu School,Combined School - Government,N/A,www.amata.sa.edu.au,Yes,Yes
68844,Ampilatwatja School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/ampilatwatja-school,Yes,Yes
70670,Angurugu School,Combined School - Government,N/A,,Yes,Yes
72300,Apollo Bay P-12 College,Combined School - Government,N/A,www.external.apollobayp12.vic.edu.au/,Yes,Yes
72785,Aramac State School,Combined School - Government,N/A,www.aramacss.eq.edu.au,Yes,Yes
75552,Ardlethan Central School,Combined School - Government,N/A,www.ardlethan-c.schools.nsw.edu.au,Yes,Yes
72110,Ardrossan Area School,Combined School - Government,N/A,www.ardas.sa.edu.au/,Yes,Yes
68225,Areyonga School,Combined School - Government,N/A,https://www.truelocal.com.au/nt/areyonga/areyonga-school-12036850,Yes,Yes
73348,Ariah Park Central School,Combined School - Government,N/A,www.ariahpark-c.schools.nsw.edu.au,Yes,Yes
75397,Arlparra School,Combined School - Government,N/A,https://www.australianschoolsdirectory.com.au/3475/arlparra-school-alice-springs,Yes,Yes
73290,Ashford Central School,Combined School - Government,N/A,www.ashford-c.schools.nsw.edu.au,Yes,Yes
73005,Aurukun State School,Combined School - Government,N/A,www.aurukunss.eq.edu.au,No,Yes
76915,Australind Senior High School,Combined School - Government,N/A,www.australind.wa.edu.au,Yes,Yes
85587,Avenues College,Combined School - Government,N/A,https://www.avenuescollege.sa.edu.au/about-us/principals-message/,No,No
85618,Awabakal Environmental Education Centre,Combined School - Government,N/A,www.awabakal-e.schools.nsw.gov.au/,No,No
76587,Babinda State School,Combined School - Government,N/A,www.babindass.eq.edu.au,Yes,Yes
68959,Baden Powell College,Combined School - Government,N/A,www.bpc.vic.edu.au,Yes,Yes
73894,Balmoral K-12 Community College,Combined School - Government,N/A,www.balmoralcommunitycollege.vic.edu.au,Yes,Yes
76219,Balranald Central School,Combined School - Government,N/A,www.balranald-c.schools.nsw.edu.au,Yes,Yes
76902,Baniyala Garrangali School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/baniyala-garrangali-school,Yes,Yes
69092,Bannockburn P-12 College,Combined School - Government,N/A,https://bannockburnp12.vic.edu.au/,Yes,Yes
75946,Baradine Central School,Combined School - Government,N/A,www.baradine-c.schools.nsw.edu.au,Yes,Yes
75436,Baralaba State School,Combined School - Government,N/A,www.baralabass.eq.edu.au,Yes,Yes
71100,Barcaldine Prep-12 State School,Combined School - Government,N/A,www.barcaldiss.eq.edu.au,Yes,Yes
73214,Barellan Central School,Combined School - Government,N/A,www.barellan-c.schools.nsw.edu.au,Yes,Yes
73909,Barraba Central School,Combined School - Government,N/A,www.barraba-c.schools.nsw.edu.au,Yes,Yes
73986,Barunga School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/barunga-school,Yes,Yes
69652,Batchelor Area School,Combined School - Government,N/A,,Yes,Yes
72106,Batlow Technology School,Combined School - Government,N/A,www.batlow-c.schools.nsw.edu.au,Yes,Yes
71723,Bayside P-12 College,Combined School - Government,N/A,www.bayside.vic.edu.au,Yes,Yes
69896,Bell State School,Combined School - Government,N/A,www.bellss.eq.edu.au,Yes,Yes
72665,Benalla P-12 College,Combined School - Government,N/A,www.benallap12.vic.edu.au,Yes,Yes
68526,Bentley Park College,Combined School - Government,N/A,www.bentleyparkcollege.eq.edu.au,Yes,Yes
76830,Beverley District High School,Combined School - Government,N/A,www.beverleydhs.wa.edu.au,Yes,Yes
76045,Biggenden State School,Combined School - Government,N/A,www.biggendess.eq.edu.au,Yes,Yes
73704,Bingara Central School,Combined School - Government,N/A,www.bingaracentralschool.com.au,Yes,Yes
75311,Binnaway Central School,Combined School - Government,N/A,www.binnaway-c.schools.nsw.edu.au,Yes,Yes
75200,Birchip P-12 School,Combined School - Government,N/A,www.birchip.vic.edu.au,Yes,Yes
75510,Blackall State School,Combined School - Government,N/A,www.blackallss.eq.edu.au,Yes,Yes
70010,Boddington District High School,Combined School - Government,N/A,www.boddingtondhs.wa.edu.au,Yes,Yes
75681,Boggabilla Central School,Combined School - Government,N/A,www.boggabilla-c.schools.nsw.edu.au,Yes,Yes
73469,Bonalbo Central School,Combined School - Government,N/A,www.bonalbo-c.schools.nsw.edu.au,Yes,Yes
76158,Bonya School,Combined School - Government,N/A,,Yes,Yes
69860,Booleroo Centre District School,Combined School - Government,N/A,www.booleroods.sa.edu.au,Yes,Yes
71073,Boorowa Central School,Combined School - Government,N/A,www.boorowa-c.schools.nsw.edu.au/sws/view/home.node,Yes,Yes
71170,Boort District P-12 School,Combined School - Government,N/A,www.boortds.vic.edu.au,Yes,Yes
73503,Boronia K-12 College,Combined School - Government,N/A,www.boroniak-12.vic.edu.au,Yes,Yes
74682,Borroloola School,Combined School - Government,N/A,https://www.borroloolaschool.nt.edu.au/,Yes,Yes
68692,Bothwell District High School,Combined School - Government,N/A,www.bothwelldistricthigh.education.tas.edu.au/,Yes,Yes
85606,Bournda Environmental Education Centre,Combined School - Government,N/A,www.bournda-e.schools.nsw.edu.au/,No,No
68490,Bowraville Central School,Combined School - Government,N/A,www.bowraville-c.schools.nsw.edu.au,Yes,Yes
72144,Box Hill Senior Secondary College,Combined School - Government,N/A,www.bhssc.vic.edu.au,Yes,Yes
69713,Boyup Brook District High School,Combined School - Government,N/A,www.boyupbrookdhs.wa.edu.au,Yes,Yes
73851,Braidwood Central School,Combined School - Government,N/A,www.braidwood-c.schools.nsw.edu.au,Yes,Yes
71019,Brewarrina Central School,Combined School - Government,N/A,www.brewarrina-c.schools.nsw.edu.au,Yes,Yes
85624,Brewongle Environmental Education Centre,Combined School - Government,N/A,www.brewongleeec.com/,No,No
71699,Bright P-12 College,Combined School - Government,N/A,http://www.brightp12.vic.edu.au/,Yes,Yes
70570,Brisbane School of Distance Education,Combined School - Government,N/A,www.brisbanesde.eq.edu.au,Yes,Yes
76124,Brisbane Youth Education and Training Centre,Combined School - Government,N/A,www.brisbaneyoutheu.eq.edu.au,Yes,Yes
71117,Brookside College,Combined School - Government,N/A,www.brooksidecollege.vic.edu.au,Yes,Yes
70374,Brookton District High School,Combined School - Government,N/A,www.brooktondhs.wa.edu.au,Yes,Yes
76220,Bruce Rock District High School,Combined School - Government,N/A,www.det.wa.edu.au/schoolsonline/contact.do?schoolID=4065,Yes,Yes
76544,Bulahdelah Central School,Combined School - Government,N/A,www.bulahdelah-c.schools.nsw.edu.au,Yes,Yes
72908,Bulla Camp School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/bulla-camp-school,Yes,Yes
74899,Bullsbrook College,Combined School - Government,N/A,www.bullsbrook-college.wa.edu.au,Yes,Yes
69117,Bulman School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/bulman-school,Yes,Yes
74823,Bundarra Central School,Combined School - Government,N/A,www.bundarra-c.schools.nsw.edu.au/,Yes,Yes
75807,Burra Community School,Combined School - Government,N/A,www.burracs.sa.edu.au,Yes,Yes
76903,Burringurrah Remote Community School,Combined School - Government,N/A,www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5715,Yes,Yes
72288,Bwgcolman Community School,Combined School - Government,N/A,www.bwgcolmacoms.eq.edu.au,Yes,Yes
70984,Cairns School of Distance Education,Combined School - Government,N/A,www.cairnssde.eq.edu.au,Yes,Yes
72152,Calamvale Community College,Combined School - Government,N/A,https://eqi.com.au/find-a-school/eqi-school-list,Yes,Yes
69678,Calen District State College,Combined School - Government,N/A,www.calendsc.eq.edu.au,Yes,Yes
74394,Cambrai Area School,Combined School - Government,N/A,www.cambraias.sa.edu.au,Yes,Yes
85603,Camden Park Environmental Education Centre,Combined School - Government,N/A,https://camdenpk-e.schools.nsw.gov.au/,No,No
77096,Campania District School,Combined School - Government,N/A,education.tas.edu.au/campaniadistricthigh/,Yes,Yes
74898,Campbell Town District High School,Combined School - Government,N/A,www.campbelltowndistricthigh.education.tas.edu.au/,Yes,Yes
74577,Camperdown College,Combined School - Government,N/A,www.camperdowncoll.vic.edu.au,Yes,Yes
75985,Cann River P-12 College,Combined School - Government,N/A,www.cannp-12.vic.edu.au,Yes,Yes
74171,Cannington Community College,Combined School - Government,N/A,www.canningtoncc.wa.edu.au,Yes,Yes
76012,Canteen Creek School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/canteen-creek-school,Yes,Yes
74350,Capalaba State College,Combined School - Government,N/A,www.capalabasc.eq.edu.au,Yes,Yes
77033,Cape Barren Island School,Combined School - Government,N/A,https://capebarrenisland.education.tas.edu.au/SitePages/Home.aspx,Yes,No
73954,Capricornia School of Distance Education,Combined School - Government,N/A,www.capricorniasde.eq.edu.au/,Yes,Yes
69714,Carlton School,Combined School - Government,N/A,www.carltonschool.sa.edu.au,Yes,Yes
75732,Carnamah District High School,Combined School - Government,N/A,www.carnamahdhs.wa.edu.au,Yes,Yes
75609,Carnarvon Community College,Combined School - Government,N/A,www.Carnarvoncc.wa.edu.au,Yes,Yes
69712,Caroline Chisholm School,Combined School - Government,N/A,www.chisholm.act.edu.au/,Yes,Yes
72074,Carranballac P-9 College,Combined School - Government,N/A,www.carranballac.vic.edu.au,Yes,Yes
69402,Carwatha College P-12,Combined School - Government,N/A,www.carwatha.vic.edu.au,Yes,Yes
85602,Cascade Environmental Education Centre,Combined School - Government,N/A,https://cascade-e.schools.nsw.gov.au/,No,No
72577,Cecil Plains State School,Combined School - Government,N/A,www.cecilplainsss.eq.edu.au,Yes,Yes
75876,Ceduna Area School,Combined School - Government,N/A,www.cedunaas.sa.edu.au,Yes,Yes
68724,Chancellor State College,Combined School - Government,N/A,https://eqi.com.au/find-a-school/eqi-school-list,Yes,Yes
76460,Charles Campbell College,Combined School - Government,N/A,https://www.ccc.sa.edu.au,Yes,Yes
75867,Charles La Trobe P-12 College,Combined School - Government,N/A,www.charleslatrobecollege.vic.edu.au,Yes,Yes
75918,Charleville School of Distance Education,Combined School - Government,N/A,www.charlevillesde.eq.edu.au/,Yes,Yes
73329,Charlton College,Combined School - Government,N/A,www.charlton.vic.edu.au,Yes,Yes
74146,Charters Towers School of Distance Education,Combined School - Government,N/A,www.charterstowerssde.eq.edu.au/,Yes,Yes
75038,Christmas Island District High School,Combined School - Government,N/A,www.cidhs.cx,Yes,Yes
75178,Clare High School,Combined School - Government,N/A,www.clarehs.sa.edu.au,Yes,Yes
75107,Cleve Area School,Combined School - Government,N/A,www.cleveas.sa.edu.au,Yes,Yes
71847,Cleveland Education and Training Centre,Combined School - Government,N/A,www.clevelandetc.eq.edu.au,Yes,Yes
71102,Cloncurry State School,Combined School - Government,N/A,www.cloncurryss.eq.edu.au,Yes,Yes
72130,Cocos Islands District High School,Combined School - Government,N/A,www.cocosdhs.wa.edu.au,Yes,Yes
73350,Coleambally Central School,Combined School - Government,N/A,www.coleamball-c.schools.nsw.edu.au,Yes,Yes
73131,Collarenebri Central School,Combined School - Government,N/A,www.collareneb-c.schools.nsw.edu.au,Yes,Yes
70202,Collingwood College,Combined School - Government,N/A,www.collingwood.vic.edu.au,Yes,Yes
76769,Coober Pedy Area School,Combined School - Government,N/A,www.cooberpedy.sa.edu.au,Yes,Yes
68655,Cooktown State School,Combined School - Government,N/A,www.cooktownss.eq.edu.au,Yes,Yes
76766,Coolah Central School,Combined School - Government,N/A,www.coolah-c.schools.nsw.edu.au,Yes,Yes
