organisation_id,organisation_name,total_courses,pct_undergraduate,pct_postgraduate,pct_vet_vocational,pct_secondary,faculty_count,avg_domestic_fee,min_domestic_fee,max_domestic_fee,free_tafe_count,avg_ielts_requirement,pct_courses_with_ielts,courses_with_atar,atar_min,atar_max,atar_median,pct_with_alternate_entry,career_diversity,top_5_careers,top_anzsco_group,top_anzsco_group_pct,stem_career_pct,health_career_pct,education_career_pct,business_finance_career_pct
85155,AUSWIDE TRADE AND TECHNOLOGY COLLEGE,7,0.0,0.0,28.6,0.0,2,,,,0,,0.0,0,,,,0.0,7,Automotive Electrician | Motor Mechanic - Car | Heavy Vehicle Motor Mechanic | Chef | General Manager,Technicians & Trades,88.9,0.0,0.0,0.0,0.0
12634,AVELING,1,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,Office Administrator,Clerical & Administrative,100.0,0.0,0.0,0.0,0.0
13605,AVETA - Australian Vocational Education & Training Academy,20,0.0,0.0,35.0,0.0,1,,,,0,5.96,60.0,0,,,,0.0,13,Office Administrator | Administrative Assistant | Secretary | Management Consultant | Receptionist,Clerical & Administrative,74.7,0.0,0.0,0.0,17.3
86206,AVM Skills Institute,6,0.0,0.0,33.3,0.0,2,,,,0,,0.0,0,,,,0.0,6,Motor Mechanic - Car | Automotive Electrician | Heavy Vehicle Motor Mechanic | Chef | Light Engine Mechanic,Technicians & Trades,94.7,0.0,0.0,0.0,0.0
66479,Aakira Pty Ltd,2,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,0,,,,,,,
66757,Abbey College Australia,21,0.0,0.0,4.8,0.0,1,,,,0,0.29,100.0,0,,,,0.0,17,Community Worker | Aged Care Worker | Information Technology Support Technician | Technical Program Manager | Site Reliability Engineer,Community & Personal Service,35.7,16.7,27.8,0.0,11.1
71050,Abbotsford Primary School,1,0.0,0.0,0.0,100.0,0,,,,0,,0.0,0,,,,0.0,0,,,,,,,
73042,Abbotsleigh,3,0.0,0.0,0.0,100.0,0,,,,0,,0.0,0,,,,0.0,0,,,,,,,
73069,Aberfoyle Park High School,6,0.0,0.0,0.0,100.0,0,,,,0,,0.0,0,,,,0.0,0,,,,,,,
17497,Absolute Forklift Training Pty Ltd,2,0.0,0.0,50.0,0.0,1,,,,0,,0.0,0,,,,0.0,2,Forklift Operator | Training Officer,Machine Operators & Drivers,75.0,0.0,0.0,0.0,25.0
13904,Absorb Training Pty Ltd,2,0.0,0.0,50.0,0.0,1,4900.0,4900.0,4900.0,0,,0.0,0,,,,0.0,1,Environmental Scientist,Professionals,100.0,100.0,0.0,0.0,0.0
13103,Academia Australia and Academia International,14,0.0,0.0,14.3,0.0,1,8455.0,4000.0,13500.0,0,6.0,7.1,0,,,,0.0,7,Community Worker | Aged Care Worker | Child Carer | Early Childhood Educator | Chef,Community & Personal Service,81.2,0.0,81.2,0.0,6.2
84967,Academia of Trade Pty Ltd,12,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,14,Information Technology Support Technician | Platform Engineer | Site Reliability Engineer | Bricklayer | Carpenter,Technicians & Trades,66.7,17.6,0.0,0.0,5.9
17908,Academic Pavilion,1,0.0,0.0,100.0,0.0,1,,,,0,,0.0,0,,,,0.0,2,Property Developer | Real Estate Salesperson,Professionals,50.0,0.0,0.0,0.0,50.0
